Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
1896,Athens,Aquatics,Swimming,Alfred Hajos,HUN,Men,100M Freestyle,Gold,Hungary
1896,Athens,Aquatics,Swimming,Alfred Hajos,HUN,Men,1200M Freestyle,Gold,Hungary
1896,Athens,Athletics,Athletics,Alajos Szokolyi,HUN,Men,100M,Bronze,Hungary
1896,Athens,Athletics,Athletics,Nandor Dani,HUN,Men,800M,Silver,Hungary
1896,Athens,Athletics,Athletics,Gyula Kellner,HUN,Men,Marathon,Bronze,Hungary
1896,Athens,Tennis,Tennis,Momcsillo Tapavicza,HUN,Men,Singles,Bronze,Hungary
1900,Paris,Aquatics,Swimming,Zoltan Halmay,HUN,Men,1500M Freestyle,Bronze,Hungary
1900,Paris,Aquatics,Swimming,Zoltan Halmay,HUN,Men,200M Freestyle,Silver,Hungary
1900,Paris,Aquatics,Swimming,Zoltan Halmay,HUN,Men,4000M Freestyle,Silver,Hungary
1900,Paris,Athletics,Athletics,Rudolf Bauer,HUN,Men,Discus Throw,Gold,Hungary
1900,Paris,Athletics,Athletics,Lajos Gönczy,HUN,Men,High Jump,Bronze,Hungary
1904,St Louis,Aquatics,Swimming,Zoltan Halmay,HUN,Men,100M Freestyle,Gold,Hungary
1904,St Louis,Aquatics,Swimming,Geza Kiss,HUN,Men,1500M Freestyle,Silver,Hungary
1904,St Louis,Aquatics,Swimming,Zoltan Halmay,HUN,Men,50Y Freestyle (45.72M),Gold,Hungary
1904,St Louis,Aquatics,Swimming,Geza Kiss,HUN,Men,880Y Freestyle (804.66M),Bronze,Hungary
1908,London,Aquatics,Swimming,Zoltan Halmay,HUN,Men,100M Freestyle,Silver,Hungary
1908,London,Aquatics,Swimming,Zoltan Halmay,HUN,Men,4X200M Freestyle Relay,Silver,Hungary
1908,London,Aquatics,Swimming,Béla Las Torres,HUN,Men,4X200M Freestyle Relay,Silver,Hungary
1908,London,Aquatics,Swimming,Jozsef Munk,HUN,Men,4X200M Freestyle Relay,Silver,Hungary
1908,London,Aquatics,Swimming,Imre Zachar,HUN,Men,4X200M Freestyle Relay,Silver,Hungary
