Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
1924,Chamonix,Biathlon,Biathlon,G. Berthet,FRA,Men,Military Patrol,Bronze,France
1924,Chamonix,Biathlon,Biathlon,C. Mandrillon,FRA,Men,Military Patrol,Bronze,France
1924,Chamonix,Biathlon,Biathlon,Maurice Mandrillon,FRA,Men,Military Patrol,Bronze,France
1924,Chamonix,Biathlon,Biathlon,André Vandelle,FRA,Men,Military Patrol,Bronze,France
1924,Chamonix,Curling,Curling,H. Aldeert,FRA,Men,Curling,Bronze,France
1924,Chamonix,Curling,Curling,Georges Andre,FRA,Men,Curling,Bronze,France
1924,Chamonix,Curling,Curling,Benedic,FRA,Men,Curling,Bronze,France
1924,Chamonix,Curling,Curling,P. Canivet,FRA,Men,Curling,Bronze,France
1924,Chamonix,Curling,Curling,F. Cournollet,FRA,Men,Curling,Bronze,France
1924,Chamonix,Curling,Curling,R. Planque,FRA,Men,Curling,Bronze,France
1924,Chamonix,Skating,Figure skating,Andrée Brunet,FRA,Women,Pairs,Bronze,France
1924,Chamonix,Skating,Figure skating,Pierre Brunet,FRA,Men,Pairs,Bronze,France
1928,St.Moritz,Skating,Figure skating,Andrée Brunet,FRA,Women,Pairs,Gold,France
1928,St.Moritz,Skating,Figure skating,Pierre Brunet,FRA,Men,Pairs,Gold,France
1932,Lake Placid,Skating,Figure skating,Andrée Brunet,FRA,Women,Pairs,Gold,France
1932,Lake Placid,Skating,Figure skating,Pierre Brunet,FRA,Men,Pairs,Gold,France
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing,Emile Allais,FRA,Men,Alpine Combined,Bronze,France
1948,St.Moritz,Skiing,Alpine Skiing,James Couttet,FRA,Men,Alpine Combined,Bronze,France
1948,St.Moritz,Skiing,Alpine Skiing,Henri Oreiller,FRA,Men,Alpine Combined,Gold,France
1948,St.Moritz,Skiing,Alpine Skiing,Henri Oreiller,FRA,Men,Downhill,Gold,France
1948,St.Moritz,Skiing,Alpine Skiing,Henri Oreiller,FRA,Men,Slalom,Bronze,France
1948,St.Moritz,Skiing,Alpine Skiing,James Couttet,FRA,Men,Slalom,Silver,France
1952,Oslo,Skating,Figure skating,Jacqueline Du Bief,FRA,Women,Individual,Bronze,France
1960,Squaw Valley,Skiing,Alpine Skiing,Guy Périllat,FRA,Men,Downhill,Bronze,France
1960,Squaw Valley,Skiing,Alpine Skiing,Jean Vuarnet,FRA,Men,Downhill,Gold,France
1960,Squaw Valley,Skiing,Alpine Skiing,Charles Bozon,FRA,Men,Slalom,Bronze,France
1964,Innsbruck,Skating,Figure skating,Alain Calmat,FRA,Men,Individual,Silver,France
1964,Innsbruck,Skiing,Alpine Skiing,Léo Lacroix,FRA,Men,Downhill,Silver,France
1964,Innsbruck,Skiing,Alpine Skiing,François Bonlieu,FRA,Men,Giant Slalom,Gold,France
1964,Innsbruck,Skiing,Alpine Skiing,Marielle Goitschel,FRA,Women,Giant Slalom,Gold,France
1964,Innsbruck,Skiing,Alpine Skiing,Christine Goitschel,FRA,Women,Giant Slalom,Silver,France
1964,Innsbruck,Skiing,Alpine Skiing,Christine Goitschel,FRA,Women,Slalom,Gold,France
1964,Innsbruck,Skiing,Alpine Skiing,Marielle Goitschel,FRA,Women,Slalom,Silver,France
1968,Grenoble,Skating,Figure skating,Patrick Pera,FRA,Men,Individual,Bronze,France
1968,Grenoble,Skiing,Alpine Skiing,Jean-Claude Killy,FRA,Men,Downhill,Gold,France
1968,Grenoble,Skiing,Alpine Skiing,Guy Périllat,FRA,Men,Downhill,Silver,France
1968,Grenoble,Skiing,Alpine Skiing,Isabelle Mir,FRA,Women,Downhill,Silver,France
1968,Grenoble,Skiing,Alpine Skiing,Jean-Claude Killy,FRA,Men,Giant Slalom,Gold,France
1968,Grenoble,Skiing,Alpine Skiing,Annie Famose,FRA,Women,Giant Slalom,Silver,France
1968,Grenoble,Skiing,Alpine Skiing,Jean-Claude Killy,FRA,Men,Slalom,Gold,France
1968,Grenoble,Skiing,Alpine Skiing,Annie Famose,FRA,Women,Slalom,Bronze,France
1968,Grenoble,Skiing,Alpine Skiing,Marielle Goitschel,FRA,Women,Slalom,Gold,France
1972,Sapporo,Skating,Figure skating,Patrick Pera,FRA,Men,Individual,Bronze,France
1972,Sapporo,Skiing,Alpine Skiing,Florence Steurer,FRA,Women,Slalom,Bronze,France
1972,Sapporo,Skiing,Alpine Skiing,Danièle Debernard,FRA,Women,Slalom,Silver,France
1976,Innsbruck,Skiing,Alpine Skiing,Danièle Debernard,FRA,Women,Giant Slalom,Bronze,France
1980,Lake Placid,Skiing,Alpine Skiing,Perrine Pelen,FRA,Women,Giant Slalom,Bronze,France
1984,Sarajevo,Skiing,Alpine Skiing,Perrine Pelen,FRA,Women,Giant Slalom,Bronze,France
1984,Sarajevo,Skiing,Alpine Skiing,Didier Bouvet,FRA,Men,Slalom,Bronze,France
1984,Sarajevo,Skiing,Alpine Skiing,Perrine Pelen,FRA,Women,Slalom,Silver,France
1988,Calgary,Skiing,Alpine Skiing,Franck Piccard,FRA,Men,Downhill,Bronze,France
1988,Calgary,Skiing,Alpine Skiing,Franck Piccard,FRA,Men,Super-G,Gold,France
1992,Albertville,Biathlon,Biathlon,Anne Briand Bouthiaux,FRA,Women,4X7.5KM Relay,Gold,France
1992,Albertville,Biathlon,Biathlon,Véronique Claudel,FRA,Women,4X7.5KM Relay,Gold,France
1992,Albertville,Biathlon,Biathlon,Corinne Niogret,FRA,Women,4X7.5KM Relay,Gold,France
1992,Albertville,Skating,Figure skating,Paul Duchesnay,FRA,Men,Ice Dancing,Silver,France
1992,Albertville,Skating,Figure skating,Isabelle Duchesnay-Dean,FRA,Women,Ice Dancing,Silver,France
1992,Albertville,Skiing,Alpine Skiing,Florence Masnada,FRA,Women,Alpine Combined,Bronze,France
1992,Albertville,Skiing,Alpine Skiing,Franck Piccard,FRA,Men,Downhill,Silver,France
1992,Albertville,Skiing,Alpine Skiing,Carole Merle,FRA,Women,Super-G,Silver,France
1992,Albertville,Skiing,Freestyle Skiing,Edgar Grospiron,FRA,Men,Moguls,Gold,France
1992,Albertville,Skiing,Freestyle Skiing,Olivier Allamand,FRA,Men,Moguls,Silver,France
1992,Albertville,Skiing,Nordic Combined,Fabrice Guy,FRA,Men,Individual,Gold,France
1992,Albertville,Skiing,Nordic Combined,Sylvain Guillaume,FRA,Men,Individual,Silver,France
1994,Lillehammer,Biathlon,Biathlon,Anne Briand Bouthiaux,FRA,Women,15KM,Silver,France
1994,Lillehammer,Biathlon,Biathlon,Patrice Bailly-Salins,FRA,Men,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Thierry Dusserre,FRA,Men,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Hervé Flandin,FRA,Men,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Lionel Laurent,FRA,Men,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Anne Briand Bouthiaux,FRA,Women,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Delphyne Burlet,FRA,Women,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Véronique Claudel,FRA,Women,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Corinne Niogret,FRA,Women,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Skating,Figure skating,Philippe Candeloro,FRA,Men,Individual,Bronze,France
1994,Lillehammer,Skiing,Freestyle Skiing,Edgar Grospiron,FRA,Men,Moguls,Bronze,France
1998,Nagano,Bobsleigh,Bobsleigh,Emanuel Hostache,FRA,Men,Four-Man,Bronze,France
1998,Nagano,Bobsleigh,Bobsleigh,Eric Le Chanony,FRA,Men,Four-Man,Bronze,France
1998,Nagano,Bobsleigh,Bobsleigh,Bruno Mingeon,FRA,Men,Four-Man,Bronze,France
1998,Nagano,Bobsleigh,Bobsleigh,Max Robert,FRA,Men,Four-Man,Bronze,France
1998,Nagano,Skating,Figure skating,Marina Anissina,FRA,Women,Ice Dancing,Bronze,France
1998,Nagano,Skating,Figure skating,Gwendal Peizerat,FRA,Men,Ice Dancing,Bronze,France
1998,Nagano,Skating,Figure skating,Philippe Candeloro,FRA,Men,Individual,Bronze,France
1998,Nagano,Skiing,Alpine Skiing,Jean-Luc Cretier,FRA,Men,Downhill,Gold,France
1998,Nagano,Skiing,Alpine Skiing,Florence Masnada,FRA,Women,Downhill,Bronze,France
1998,Nagano,Skiing,Freestyle Skiing,Sebastien Foucras,FRA,Men,Aerials,Silver,France
1998,Nagano,Skiing,Nordic Combined,Nicolas Bal,FRA,Men,Team,Bronze,France
1998,Nagano,Skiing,Nordic Combined,Sylvain Guillaume,FRA,Men,Team,Bronze,France
1998,Nagano,Skiing,Nordic Combined,Fabrice Guy,FRA,Men,Team,Bronze,France
1998,Nagano,Skiing,Nordic Combined,Ludovic Roux,FRA,Men,Team,Bronze,France
1998,Nagano,Skiing,Snowboard,Karine Ruby,FRA,Women,Giant-Slalom,Gold,France
2002,Salt Lake City,Biathlon,Biathlon,Raphael Poiree,FRA,Men,12.5Km Pursuit,Silver,France
2002,Salt Lake City,Biathlon,Biathlon,Vincent Defrasne,FRA,Men,4X7.5KM Relay,Bronze,France
2002,Salt Lake City,Biathlon,Biathlon,Gilles Marguet,FRA,Men,4X7.5KM Relay,Bronze,France
